,0
196,-4.822531263215524e-16
197,1.3725999503666486e-15
198,-3.7383290907300193e-16
199,2.288967626551397e-15
200,-1.083334810747516e-15
201,1.5612511283791264e-17
202,1.9255430583342559e-16
203,-4.180683577104105e-16
204,5.84601811404184e-16
205,1.833602714107485e-15
206,-3.191891195797325e-16
207,1.457167719820518e-16
208,3.608224830031759e-16
209,1.5890067039947553e-15
210,4.637783213023994e-15
211,2.7755575615628914e-16
212,4.996003610813204e-16
213,7.632783294297951e-17
214,3.3306690738754696e-16
215,-6.446666117598809e-16
216,5.051840022696208e-16
217,-1.4731054917560549e-15
218,1.6566609195578508e-16
219,1.4719128693663208e-15
220,-5.130444680201407e-16
221,-2.697495005143935e-16
222,2.05239471251506e-16
223,1.730386667286865e-16
224,5.926249074805767e-16
225,-5.657366936029362e-16
226,1.2607102861661446e-15
227,1.016764797356906e-15
228,3.015166241682188e-16
229,1.259409243559162e-15
230,-4.0354004859910475e-16
231,1.0959115559483479e-15
232,4.798678815420843e-16
233,7.563394355258879e-16
234,7.7487929267539e-16
235,1.448494102440634e-16
236,8.903468240450962e-16
237,1.1420985684962304e-15
238,-7.942865115628805e-16
239,-6.444497713253838e-16
240,-5.473052566706826e-16
241,1.3773704399255848e-15
242,-4.766152750246277e-16
243,1.3834419720915037e-15
244,-5.429684479807406e-16
245,-2.020736009078483e-15
246,1.2199442844806896e-15
247,-2.246466901389965e-16
248,1.844011054963346e-15
249,-9.254749744336266e-16
250,-2.1011838102769076e-16
251,-5.230191280070073e-16
252,-1.1639994523804376e-15
253,-6.097553018058477e-16
254,1.971079549578647e-15
255,-3.3306690738754696e-16
256,1.1102230246251565e-16
257,3.497202527569243e-15
258,-4.575550008323326e-15
259,3.694961003830599e-16
260,-5.48172618408671e-16
261,1.3183898417423734e-16
262,-1.3877787807814457e-17
263,-5.967448757360216e-16
264,-5.102255423716784e-16
265,9.35015953551499e-16
266,2.909998630951094e-16
267,-8.760353553682876e-16
268,-3.0791341698588326e-16
269,-7.806255641895632e-18
270,-9.488937413593135e-16
271,-5.91107024439097e-16
272,-7.617604463883154e-16
273,4.423544863740858e-16
274,-2.26554885962571e-15
275,-8.291978215169138e-16
276,6.788189801931743e-16
277,-1.8405416080113923e-15
278,5.616167253474913e-16
279,-2.4130003550837387e-15
280,3.963843142607004e-16
281,-9.30679144861557e-16
282,9.224392083506672e-16
283,-1.5009694875889323e-15
284,-2.0660556598883772e-15
285,-1.6410484082740595e-15
286,1.1848161340921592e-15
287,1.1856834958301476e-15
288,2.1076890233118206e-16
289,-2.7946395197986362e-15
290,5.724587470723463e-17
291,-2.5292268279741847e-15
292,-1.923591494423782e-15
293,6.626643678231403e-16
294,-1.6380126421911001e-15
295,1.790234627208065e-15
296,-1.8405416080113923e-15
297,1.97758476261356e-16
298,-1.1420985684962304e-15
299,-2.445960101127298e-16
300,5.663872149064275e-16
301,-3.235259282696745e-16
302,-2.7113727929517495e-15
303,6.106226635438361e-16
304,1.457167719820518e-16
305,-4.40619762898109e-15
306,6.938893903907228e-16
307,8.326672684688674e-17
308,8.326672684688674e-16
309,4.996003610813204e-16
310,-5.334274688628682e-16
311,-7.28583859910259e-16
312,4.518954654919582e-16
313,7.068998164605489e-17
314,-3.8163916471489756e-17
315,-1.973247953923618e-17
316,4.874572967494828e-16
317,-7.606762442158299e-16
318,-1.0182826803983858e-15
319,-5.880712583561376e-16
320,-8.83407930141189e-16
321,-2.518818487118324e-15
322,-4.935288289154016e-16
323,-9.974659986866641e-17
324,-1.7034984534092246e-15
325,1.5135462327897642e-16
326,-2.518818487118324e-15
327,8.31799906730879e-16
328,-1.6557935578198624e-15
329,7.11453465584988e-16
330,-4.9439619065339e-16
331,-2.093811235504006e-15
332,-1.5144135945277526e-15
333,1.1032841307212493e-15
334,1.5846698953048133e-15
